,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
669,06,077,2010,88101,3,37.793392,-121.247874,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,361,99.0,Y,361,366,0,0,,,Certified,14.896122,19.129002,140.0,2020-09-11 00:00,128.5,2020-09-12 00:00,111.9,2020-09-13 00:00,105.0,2020-09-14 00:00,,,,,105.0,91.6,43.1,29.2,17.0,8.7,3.6,Manteca,"530 Fishback Road Manteca, CA",California,San Joaquin,Manteca,44700,"Stockton-Lodi, CA",2021-10-31
675,06,047,2510,88101,1,37.30832,-120.480456,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,4,,,Certified,15.533613,15.753134,86.0,2020-08-22 00:00,83.1,2020-09-12 00:00,77.1,2020-10-03 00:00,73.9,2020-09-15 00:00,,,,,83.1,77.1,45.6,31.5,19.7,9.5,3.8,Merced-M St,"2334 'M' ST. MERCED, CA",California,Merced,Merced,32900,"Merced, CA",2021-10-31
681,06,065,8005,88101,1,33.99636,-117.4924,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,354,98.0,Y,359,366,0,7,,,Certified,14.229379,8.032849,47.4,2020-10-05 00:00,44.0,2020-10-04 00:00,40.1,2020-10-06 00:00,38.7,2020-10-21 00:00,,,,,38.7,35.3,30.2,25.1,18.0,12.7,4.3,Mira Loma (Van Buren),5130 POINSETTIA PLACE,California,Riverside,Mira Loma,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
687,06,065,8005,88101,1,33.99636,-117.4924,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,359,98.0,Y,359,366,5,7,,,Certified,14.718663,9.025495,60.9,2020-09-12 00:00,50.4,2020-09-13 00:00,49.7,2020-09-15 00:00,49.3,2020-09-14 00:00,,,,,49.3,38.7,32.6,25.8,18.3,13.0,4.9,Mira Loma (Van Buren),5130 POINSETTIA PLACE,California,Riverside,Mira Loma,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
693,06,065,8005,88101,1,33.99636,-117.4924,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,359,98.0,Y,359,366,5,7,,,Certified,14.718663,9.025495,60.9,2020-09-12 00:00,50.4,2020-09-13 00:00,49.7,2020-09-15 00:00,49.3,2020-09-14 00:00,,,,,49.3,38.7,32.6,25.8,18.3,13.0,4.9,Mira Loma (Van Buren),5130 POINSETTIA PLACE,California,Riverside,Mira Loma,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
699,06,065,8005,88101,2,33.99636,-117.4924,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,56,93.0,Y,57,61,0,4,,,Certified,14.457143,7.813132,44.2,2020-10-06 00:00,32.4,2020-01-04 00:00,31.3,2020-12-05 00:00,28.9,2020-01-16 00:00,,,,,44.2,32.4,31.3,24.7,17.2,13.1,5.0,Mira Loma (Van Buren),5130 POINSETTIA PLACE,California,Riverside,Mira Loma,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
705,06,065,8005,88101,2,33.99636,-117.4924,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,57,93.0,Y,57,61,1,4,,,Certified,15.294737,9.997204,62.2,2020-09-12 00:00,44.2,2020-10-06 00:00,32.4,2020-01-04 00:00,31.3,2020-12-05 00:00,,,,,62.2,44.2,32.4,25.5,18.4,13.2,5.3,Mira Loma (Van Buren),5130 POINSETTIA PLACE,California,Riverside,Mira Loma,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
711,06,065,8005,88101,2,33.99636,-117.4924,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,57,93.0,Y,57,61,1,4,,,Certified,15.294737,9.997204,62.2,2020-09-12 00:00,44.2,2020-10-06 00:00,32.4,2020-01-04 00:00,31.3,2020-12-05 00:00,,,,,62.2,44.2,32.4,25.5,18.4,13.2,5.3,Mira Loma (Van Buren),5130 POINSETTIA PLACE,California,Riverside,Mira Loma,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
717,06,059,2022,88101,1,33.63003,-117.67593,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,122,99.0,Y,121,122,0,3,,,Certified,9.283607,6.827501,44.8,2020-09-15 00:00,38.2,2020-09-12 00:00,35.0,2020-10-03 00:00,34.2,2020-10-27 00:00,,,,,38.2,35.0,16.3,14.0,10.8,8.1,3.2,Mission Viejo,"26081 VIA PERA, MISSION VIEJO, CA 92691",California,Orange,Mission Viejo,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
726,06,099,0005,88101,3,37.642165,-120.994212,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Excluded,354,98.0,Y,359,366,0,0,,,Certified,13.604237,15.799814,114.9,2020-09-13 00:00,112.7,2020-09-11 00:00,107.7,2020-09-12 00:00,99.2,2020-09-14 00:00,,,,,99.2,67.1,37.0,28.8,16.9,7.8,2.8,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,33700,"Modesto, CA",2021-10-31
732,06,099,0005,88101,3,37.642165,-120.994212,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,359,98.0,Y,359,366,0,0,,,Certified,14.564067,17.720673,114.9,2020-09-13 00:00,112.7,2020-09-11 00:00,107.7,2020-09-12 00:00,102.2,2020-08-20 00:00,,,,,102.2,82.0,46.2,30.5,17.7,8.2,3.0,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,33700,"Modesto, CA",2021-10-31
738,06,099,0005,88101,3,37.642165,-120.994212,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,359,98.0,Y,359,366,0,0,,,Certified,14.564067,17.720673,114.9,2020-09-13 00:00,112.7,2020-09-11 00:00,107.7,2020-09-12 00:00,102.2,2020-08-20 00:00,,,,,102.2,82.0,46.2,30.5,17.7,8.2,3.0,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,33700,"Modesto, CA",2021-10-31
744,06,099,0005,88101,1,37.642165,-120.994212,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,26,84.0,N,26,31,0,1,,,Certified,10.119231,8.642223,44.3,2020-08-31 00:00,22.7,2020-01-04 00:00,17.8,2020-08-19 00:00,16.2,2020-11-05 00:00,,,,,44.3,44.3,22.7,17.8,11.4,8.2,2.9,Modesto-14th Street,"814 14TH ST., MODESTO",California,Stanislaus,Modesto,33700,"Modesto, CA",2021-10-31
751,06,029,0011,88101,3,35.050551,-118.147294,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,234,64.0,N,234,366,0,0,,,Certified,7.743162,8.775785,72.8,2020-08-23 00:00,71.3,2020-08-21 00:00,62.4,2020-08-22 00:00,59.3,2020-08-20 00:00,,,,,62.4,32.9,14.9,10.7,8.6,6.5,2.5,Mojave," 923 POOLE STREET, MOJAVE, CA 93501",California,Kern,Mojave,12540,"Bakersfield, CA",2021-10-31
758,06,029,0019,88101,3,35.046528,-118.162833,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,91,25.0,N,91,366,0,0,,,Certified,10.058242,12.407803,67.0,2020-10-05 00:00,51.7,2020-10-04 00:00,51.3,2020-10-03 00:00,47.3,2020-12-09 00:00,,,,,67.0,51.7,38.4,22.2,11.4,4.8,2.5,Mojave - CA 58 Business,1773 CA-58 BUS,California,Kern,Mojave,12540,"Bakersfield, CA",2021-10-31
765,06,055,0004,88101,3,38.278849,-122.275024,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,348,95.0,Y,348,366,0,0,,,Certified,10.332759,14.929613,148.5,2020-10-02 00:00,112.8,2020-10-01 00:00,91.7,2020-09-12 00:00,90.0,2020-09-14 00:00,,,,,90.0,56.8,27.9,17.4,10.3,6.5,3.2,Napa Valley College,Magnolia Drive and Route 221,California,Napa,Napa,34900,"Napa, CA",2021-10-31
772,06,079,2004,88101,1,35.02083,-120.56388,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,359,98.0,Y,359,366,0,0,,,Certified,9.464624,8.422675,84.5,2020-09-14 00:00,62.6,2020-09-13 00:00,54.4,2020-10-02 00:00,51.7,2020-09-15 00:00,,,,,51.7,30.4,20.5,17.2,11.1,7.5,3.6,Mesa2,"1300 GUADALUPE RD., NIPOMO, CA., 93444",California,San Luis Obispo,Nipomo,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",2021-10-31
779,06,001,0009,88101,3,37.743065,-122.169935,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,362,99.0,Y,362,366,0,0,,,Certified,11.44558,15.493702,167.7,2020-09-11 00:00,117.3,2020-09-14 00:00,110.5,2020-09-10 00:00,105.4,2020-09-13 00:00,,,,,105.4,46.7,30.3,18.8,11.7,7.9,4.0,Oakland,9925 International Blvd,California,Alameda,Oakland,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
786,06,001,0011,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,366,0,0,,,Certified,10.157345,15.256237,159.7,2020-09-11 00:00,116.9,2020-09-10 00:00,114.9,2020-09-14 00:00,107.3,2020-09-13 00:00,,,,,107.3,42.2,27.1,18.0,11.3,6.7,2.0,Oakland West,1100 21st Street,California,Alameda,Oakland,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
793,06,001,0012,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,364,99.0,Y,364,366,0,0,,,Certified,10.084066,14.755163,160.3,2020-09-11 00:00,114.6,2020-09-10 00:00,114.0,2020-09-14 00:00,109.8,2020-09-13 00:00,,,,,109.8,35.2,26.0,17.1,11.7,7.0,2.3,Laney College,Laney College Eighth St. parking lot Aisle J,California,Alameda,Oakland,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
800,06,111,1004,88101,3,34.44806,-119.2313,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,358,98.0,Y,358,366,0,0,,,Certified,6.62486,5.193448,33.0,2020-10-04 00:00,32.3,2020-10-03 00:00,30.8,2020-08-21 00:00,29.5,2020-10-05 00:00,,,,,29.5,23.9,17.8,11.4,7.6,5.4,2.3,Ojai - East Ojai Ave,"1201 E. OJAI AVENUE, OJAI, CA  93023",California,Ventura,Ojai,37100,"Oxnard-Thousand Oaks-Ventura, CA",2021-10-31
809,06,071,0027,88101,3,34.030833,-117.61722,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Excluded,311,87.0,N,317,366,0,0,,,Certified,17.020579,8.475625,53.4,2020-07-05 00:00,52.8,2020-08-21 00:00,49.7,2020-01-15 00:00,47.2,2020-10-05 00:00,,,,,47.2,40.3,34.4,26.8,21.1,15.7,7.3,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
815,06,071,0027,88101,3,34.030833,-117.61722,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,317,87.0,N,317,366,0,0,,,Certified,17.699369,9.773932,65.6,2020-09-12 00:00,57.2,2020-09-14 00:00,55.0,2020-09-13 00:00,53.4,2020-07-05 00:00,,,,,53.4,49.7,36.9,29.0,21.2,15.9,7.7,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
821,06,071,0027,88101,3,34.030833,-117.61722,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,317,87.0,N,317,366,0,0,,,Certified,17.699369,9.773932,65.6,2020-09-12 00:00,57.2,2020-09-14 00:00,55.0,2020-09-13 00:00,53.4,2020-07-05 00:00,,,,,53.4,49.7,36.9,29.0,21.2,15.9,7.7,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
827,06,071,0027,88101,1,34.030833,-117.61722,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,359,100.0,Y,365,366,0,1,,,Certified,14.633983,7.802941,53.1,2020-08-21 00:00,47.5,2020-01-15 00:00,44.1,2020-10-05 00:00,42.8,2020-07-05 00:00,,,,,42.8,37.5,29.5,23.8,17.9,12.8,6.2,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
833,06,071,0027,88101,1,34.030833,-117.61722,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,365,100.0,Y,365,366,6,1,,,Certified,15.17726,8.860665,59.2,2020-09-12 00:00,53.7,2020-09-14 00:00,53.1,2020-08-21 00:00,50.2,2020-09-13 00:00,,,,,50.2,42.8,33.6,25.8,18.2,13.0,6.5,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
839,06,071,0027,88101,1,34.030833,-117.61722,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,365,100.0,Y,365,366,6,1,,,Certified,15.17726,8.860665,59.2,2020-09-12 00:00,53.7,2020-09-14 00:00,53.1,2020-08-21 00:00,50.2,2020-09-13 00:00,,,,,50.2,42.8,33.6,25.8,18.2,13.0,6.5,Ontario-Route 60 Near Road,2330 S. Castle Harbour,California,San Bernardino,Ontario,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
847,06,073,1201,88101,1,33.362593,-117.09023,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,357,98.0,Y,357,366,0,0,,,Certification not required,20.618487,13.053924,96.7,2020-09-14 00:00,93.0,2020-10-05 00:00,86.8,2020-10-06 00:00,78.0,2020-09-16 00:00,,,,,78.0,75.0,37.2,31.7,24.9,18.5,7.2,Pala Airpad,"10848 HWY 76, PALA, CA 92059",California,San Diego,Pala,41740,"San Diego-Carlsbad, CA",2021-10-31
853,06,065,5001,88101,1,33.85275,-116.54101,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,122,100.0,Y,122,122,0,0,,,Certified,6.422951,3.977515,23.9,2020-09-12 00:00,22.4,2020-09-15 00:00,16.9,2020-10-06 00:00,16.5,2020-10-09 00:00,,,,,22.4,16.9,12.8,11.0,8.2,5.7,2.5,Palm Springs,"FS-590 RACQUET CLUB AVE, PALM SPRINGS",California,Riverside,Palm Springs,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
859,06,037,2005,88101,1,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2020,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,4,,,Certified,11.894958,9.267794,67.7,2020-07-05 00:00,60.0,2020-09-16 00:00,34.9,2020-10-21 00:00,34.5,2020-10-27 00:00,,,,,60.0,34.9,28.4,18.6,14.3,9.8,4.6,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
865,06,037,2005,88101,2,34.1326,-118.1272,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,6,10.0,N,6,61,0,0,,,Certified,11.483333,7.118544,23.3,2020-01-16 00:00,13.7,2020-01-04 00:00,13.3,2020-01-22 00:00,9.5,2020-01-10 00:00,,,,,23.3,23.3,23.3,23.3,13.7,13.3,2.9,Pasadena,"752 S. WILSON AVE., PASADENA",California,Los Angeles,Pasadena,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
871,06,037,1602,88101,2,34.01029,-118.0685,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,60,100.0,Y,61,61,0,1,,,Certified,13.218333,7.018245,39.9,2020-10-06 00:00,30.7,2020-01-16 00:00,26.3,2020-12-23 00:00,26.1,2020-01-04 00:00,,,,,39.9,30.7,26.1,22.0,15.9,10.7,6.5,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
877,06,037,1602,88101,2,34.01029,-118.0685,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,61,100.0,Y,61,61,1,1,,,Certified,13.993443,9.22406,60.5,2020-09-12 00:00,39.9,2020-10-06 00:00,30.7,2020-01-16 00:00,26.3,2020-12-23 00:00,,,,,60.5,39.9,26.3,22.5,16.5,10.9,6.8,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
883,06,037,1602,88101,2,34.01029,-118.0685,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,61,100.0,Y,61,61,1,1,,,Certified,13.993443,9.22406,60.5,2020-09-12 00:00,39.9,2020-10-06 00:00,30.7,2020-01-16 00:00,26.3,2020-12-23 00:00,,,,,60.5,39.9,26.3,22.5,16.5,10.9,6.8,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
889,06,037,1602,88101,21,34.01029,-118.0685,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,58,95.0,Y,58,61,0,3,,,Certified,15.57069,12.43762,82.9,2020-07-05 00:00,46.8,2020-10-27 00:00,35.4,2020-10-21 00:00,30.5,2020-10-03 00:00,,,,,82.9,46.8,35.4,27.4,19.0,12.7,4.9,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
895,06,037,1602,88101,21,34.01029,-118.0685,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,59,95.0,Y,58,61,1,3,,,Certified,16.128814,13.05396,82.9,2020-07-05 00:00,48.5,2020-09-15 00:00,46.8,2020-10-27 00:00,35.4,2020-10-21 00:00,,,,,82.9,48.5,46.8,29.0,20.3,12.8,5.5,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
901,06,037,1602,88101,21,34.01029,-118.0685,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,59,95.0,Y,58,61,1,3,,,Certified,16.128814,13.05396,82.9,2020-07-05 00:00,48.5,2020-09-15 00:00,46.8,2020-10-27 00:00,35.4,2020-10-21 00:00,,,,,82.9,48.5,46.8,29.0,20.3,12.8,5.5,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
907,06,037,1602,88101,1,34.01029,-118.0685,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,2,,,Certified,13.149153,7.076561,39.8,2020-10-06 00:00,30.9,2020-01-16 00:00,26.3,2020-01-04 00:00,26.0,2020-12-23 00:00,,,,,39.8,30.9,26.3,22.6,16.4,11.1,6.6,Pico Rivera #2,"4144 SAN GABRIEL RIVER PKWY, PICO RIVERA",California,Los Angeles,Pico Rivera,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
914,06,111,0009,88101,3,34.404281,-118.80998,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,366,100.0,Y,366,366,0,0,,,Certified,7.944262,7.09079,40.0,2020-09-15 00:00,38.3,2020-10-04 00:00,37.9,2020-10-03 00:00,35.7,2020-08-18 00:00,,,,,35.7,31.6,20.6,15.0,10.3,6.6,1.0,Piru - Pacific,"3301 PACIFIC AVENUE, PIRU, CA  93040",California,Ventura,Piru,37100,"Oxnard-Thousand Oaks-Ventura, CA",2021-10-31
921,06,001,0015,88101,3,37.701222,-121.903019,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,363,99.0,Y,363,366,0,0,,,Certified,11.744353,15.81267,123.8,2020-09-11 00:00,116.8,2020-09-12 00:00,112.8,2020-09-14 00:00,103.9,2020-10-02 00:00,,,,,103.9,65.4,33.6,19.8,10.6,7.5,4.3,Pleasanton - Owens Ct,Owens Ct.,California,Alameda,Pleasanton,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
927,06,063,1010,88101,2,39.81336,-120.47069,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,25,90.0,N,28,31,0,3,,,Certified,13.52,9.261794,32.8,2020-11-11 00:00,31.6,2020-12-29 00:00,31.0,2020-12-05 00:00,21.5,2020-02-21 00:00,,,,,32.8,32.8,31.6,31.0,20.5,7.3,,Portola,"420 Gulling Street, Portola, CA 96122",California,Plumas,Portola,,,2021-10-31
933,06,063,1010,88101,2,39.81336,-120.47069,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,28,90.0,N,28,31,3,3,,,Certified,32.614286,83.26582,449.9,2020-09-12 00:00,69.4,2020-08-19 00:00,55.9,2020-08-31 00:00,32.8,2020-11-11 00:00,,,,,449.9,449.9,69.4,55.9,21.5,13.7,4.7,Portola,"420 Gulling Street, Portola, CA 96122",California,Plumas,Portola,,,2021-10-31
